phrase1,phrase2_cut,ante_noun,ante_gender,phrases_cut,next_10,gender,gramm_gender,ref
Die Eigentümer stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Eigentümer,masc,Die Eigentümer stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Gäste Sonnenbrillen. Die,neutral,masculine,no
Die Eigentümerinnen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Eigentümerinnen,fem,Die Eigentümerinnen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Frauen Sonnenbrillen. Die beiden Frauen,feminine,feminine,yes
Die Eigentümerinnen und Eigentümer stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Eigentümerinnen und Eigentümer,coord_f,Die Eigentümerinnen und Eigentümer stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Gäste Sonnenbrillen. Die,neutral,masculine,no
Die Eigentümer und Eigentümerinnen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Eigentümer und Eigentümerinnen,coord_m,Die Eigentümer und Eigentümerinnen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Gäste Sonnenbrillen. Die,neutral,masculine,no
Die Eigentümer*innen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Eigentümer*innen,star,Die Eigentümer*innen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Gäste Sonnenbrillen. Die,neutral,masculine,no
Die Eigentümer:innen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Eigentümer:innen,colon,Die Eigentümer:innen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Gäste Sonnenbrillen. Die,neutral,masculine,no
Die Eigentümer_innen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Eigentümer_innen,underscore,Die Eigentümer_innen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Fahrgäste Sonnenbrillen,neutral,masculine,yes
Die EigentümerInnen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,EigentümerInnen,big_i,Die EigentümerInnen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Gäste Sonnenbrillen. Die,neutral,masculine,no
Die Allergologen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Allergologen,masc,Die Allergologen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,jungen Männer Sonnenbrillen,masculine,masculine,yes
Die Allergologinnen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Allergologinnen,fem,Die Allergologinnen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Frauen Sonnenbrillen. Die Sonne,feminine,feminine,yes
Die Allergologinnen und Allergologen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Allergologinnen und Allergologen,coord_f,Die Allergologinnen und Allergologen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Männer Sonnenbrillen. Sie,masculine,masculine,yes
Die Allergologen und Allergologinnen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Allergologen und Allergologinnen,coord_m,Die Allergologen und Allergologinnen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Allergologen und Allergologinnen Son,masc_fem,masc_fem,yes
Die Allergolog*innen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Allergolog*innen,star,Die Allergolog*innen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Patient*innen Sonnenschutzmittel,neutral,neutral,no
Die Allergolog:innen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Allergolog:innen,colon,Die Allergolog:innen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Patient:innen Sonnenbrillen.,neutral,neutral,no
Die Allergolog_innen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Allergolog_innen,underscore,Die Allergolog_innen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Allergolog_innen Sonnenbrillen,neutral,neutral,yes
Die AllergologInnen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,AllergologInnen,big_i,Die AllergologInnen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Frauen Sonnenbrillen. Die Sonne,feminine,feminine,yes
Die Choreographen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Choreographen,masc,Die Choreographen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Tänzer Sonnenbrillen. Die,masculine,masculine,no
Die Choreographinnen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Choreographinnen,fem,Die Choreographinnen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Tänzerinnen Sonnenbrillen.,feminine,feminine,no
Die Choreographinnen und Choreographen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Choreographinnen und Choreographen,coord_f,Die Choreographinnen und Choreographen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Tänzerinnen und Tänzer Sonnen,masc_fem,masc_fem,no
Die Choreographen und Choreographinnen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Choreographen und Choreographinnen,coord_m,Die Choreographen und Choreographinnen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Tänzerinnen Sonnenschutzmittel,feminine,feminine,no
Die Choreograph*innen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Choreograph*innen,star,Die Choreograph*innen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Tänzer*innen Sonnenbrillen,neutral,neutral,no
Die Choreograph:innen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Choreograph:innen,colon,Die Choreograph:innen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Tänzer:innen Sonnenbrillen,neutral,neutral,no
Die Choreograph_innen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Choreograph_innen,underscore,Die Choreograph_innen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Tänzer_innen Sonnenbrillen,neutral,neutral,no
Die ChoreographInnen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,ChoreographInnen,big_i,Die ChoreographInnen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,TänzerInnen Sonnenbrillen,neutral,neutral,no
Die Beamte stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Beamte,masc,Die Beamte stiegen in den Bus. Angesichts der Sonne trugen mehrere der,"Beamten Sonnenbrillen.
",masculine,masculine,yes
Die Beamtinnen stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Beamtinnen,fem,Die Beamtinnen stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Frauen Sonnenbrillen. Die Sonne,feminine,feminine,yes
Die Beamtinnen und Beamte stiegen in den Bus.,Angesichts der Sonne trugen mehrere der,Beamtinnen und Beamte,coord_f,Die Beamtinnen und Beamte stiegen in den Bus. Angesichts der Sonne trugen mehrere der,Beamtinnen und Beamten Sonnenbr,masc_fem,masc_fem,yes
