item_no,phrase1_masked,phrase2_masked,phrase2_cut,number
1,Die [MASK] stiegen in den Bus.,Angesichts der Sonne trugen mehrere der [MASK] einen Hut.,Angesichts der Sonne trugen mehrere der,PL
2,Die [MASK] durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der [MASK] eine Mütze.,Aufgrund des schlechten Wetters trugen die meisten der,PL
3,Die [MASK] stiegen in den Reisebus.,Bei schönem Wetter trugen einige der [MASK] Shorts.,Bei schönem Wetter trugen einige der,PL
4,Die [MASK] gingen durch die Stadt.,Nach einem sehr langen Tag schienen die meisten der [MASK] gehen zu wollen.,Nach einem sehr langen Tag schienen die meisten der,PL
5,Die [MASK] warteten auf einer Bank.,Wegen des wolkigen Wetters trug einer der [MASK] einen Regenmantel.,Wegen des wolkigen Wetters trug einer der,PL
6,Die [MASK] gingen über den Platz.,Aufgrund der Hitze hatten mehrere der [MASK] keine Jacke.,Aufgrund der Hitze hatten mehrere der,PL
7,Die [MASK] waren schon bei der Arbeit.,"Man konnte sehen, dass mehrere der [MASK] wirklich ruhig waren.","Man konnte sehen, dass mehrere der",PL
8,Die [MASK] gingen zum Supermarkt.,"Da schlechtes Wetter vorhergesagt wurde, hatte eine der [MASK] einen Regenschirm.","Da schlechtes Wetter vorhergesagt wurde, hatte eine der",PL
9,Die [MASK] warteten in der Nähe der Schranke.,Nach einiger Zeit schienen die meisten der [MASK] gehen zu wollen.,Nach einiger Zeit schienen die meisten der,PL
10,Die [MASK] gingen eilig hinaus.,"Man konnte sehen, dass die meisten der [MASK] wirklich traurig waren.","Man konnte sehen, dass die meisten der",PL
11,Die [MASK] betraten das Gebäude.,"Es war offensichtlich, dass die Mehrheit der [MASK] wirklich wütend war.","Es war offensichtlich, dass die Mehrheit der",PL
12,Die [MASK] gingen durch das Dorf.,Am Ende des Tages schien eine der [MASK] eine Pause machen zu wollen.,Am Ende des Tages schien eine der,PL
13,Die [MASK] durchquerten das Dorf.,Nach einiger Zeit schienen die meisten der [MASK] nach Hause zu wollen.,Nach einiger Zeit schienen die meisten der,PL
14,Die [MASK] verließen das Hotel.,Bei gutem Wetter trugen einige der [MASK] einen Hut.,Bei gutem Wetter trugen einige der,PL
15,Die [MASK] waren bereits am Bahnhof.,Nach einem sehr langen Tag schien die Mehrheit der [MASK] nach Hause zu wollen.,Nach einem sehr langen Tag schien die Mehrheit der,PL
16,Die [MASK] warteten auf den Stufen.,"Es war offensichtlich, dass einige der [MASK] wirklich guter Laune waren.","Es war offensichtlich, dass einige der",PL
17,Die [MASK] verließen das Schloss.,"Man konnte bemerken, dass eine der [MASK] wirklich wütend war.","Man konnte bemerken, dass eine der",PL
18,Die [MASK] gingen die Treppe hinunter.,"Man konnte sehen, dass einer der [MASK] wirklich guter Laune war.","Man konnte sehen, dass einer der",PL
19,Die [MASK] durchquerten den Park.,Nach einiger Zeit schienen mehrere der [MASK] eine Pause machen zu wollen.,Nach einiger Zeit schienen mehrere der,PL
20,Die [MASK] betraten das Krankenhaus.,Angesichts des guten Wetters hatten einige der [MASK] keine Jacke.,Angesichts des guten Wetters hatten einige der,PL
21,Die [MASK] betraten den Flughafen.,"Man konnte bemerken, dass einige der [MASK] wirklich traurig waren.","Man konnte bemerken, dass einige der",PL
